,Comment
14,"Indication of Mobile Network Information improvements\n\n1) Technical Description\n\nWhen viewing available PLMNs (Public Land Mobile Network) the current\nimplementation does not display the network technology (2G/3G) nor does\nit allow selecting a specific PLMN in automatic mode.\n\nThis contribution will:\n\n- display 2G/3G/home/forbidden network information\n\n- separate search mode (automatic / manual) from network search\n\n- allow selecting a specific network in automatic mode which might\nbe later on unselected by the network in order to reselect a higher\npriority PLMN\n\n2) Architecture\n\nTelephony Framework supports new interfaces to select a network in\nautomatic mode as well selecting a PLMN for a specific RAT (Radio Access\nTechnology).\n\nTelephony application shows the new network information allows the user\nto select a network in automatic mode as well as selecting \search\nnetworks\""\n\nChange-Id: Iaf7bc7c67931616ae550e96ba55a114aa47d0fcb\n"""
15,Improvement of Mobile Network Information\n\n1) Technical Description\n\nWhen viewing available PLMNs (Public Land Mobile Network) the current\nimplementation does not display the network technology (2G/3G) nor does\nit allow selecting a specific PLMN in automatic mode.\n\nThis contribution will:\n\n- display 2G/3G/home/forbidden network information\n\n- separate search mode (automatic / manual) from network search\n\n- allow selecting a specific network in automatic mode which might\nbe later on unselected by the network in order to reselect a higher\npriority PLMN\n\n2) Architecture\n\nTelephony Framework supports new interfaces to select a network in\nautomatic mode as well selecting a PLMN for a specific RAT (Radio Access\nTechnology).\n\nTelephony application shows the new network information allows the user\nto select a network in automatic mode as well as selecting “search\nnetworks�? independently from the search mode.\n\nChange-Id: I5651bd9ce5745d73aeabd799ac14139b96446503\n
16,Don\u0027t end() user-supplied [Inf|Def]laters on closing stream\n\nCalling close() on the following compression stream classes\n*should not* invoke end() on the underlying Inflater/Deflater if it\nwas supplied in the stream class constructor:\n\n    InflaterInputStream\n    InflaterOutputStream\n    DeflaterInputStream\n    DeflaterOutputStream\n\nThis fix updates the behaviour of the close() method on those classes\nto match the RI allowing reuse of Inflater \u0026 Deflaters supplied to\nstream class constructors.\n\nThis issue was initially observed using JGit on Android- JGit uses an\nInflaterCache to recycle Inflaters but in the cases where that Inflater\nwas used on a stream it would be returned to the cache in an invalidated\nstate. Seemingly-random exceptions would occur as the invalid Inflaters\nwere re-used in other contexts :-)\n\nhttps://github.com/rtyley/agit/issues/47#issuecomment-3496045\n\nChange-Id: Ia7b4b154820ba19ab08696978025c90b6fe2b1e5\n
17,Remove compiler warnings when building the emulator.\n\nThis forces -Wall during the build. Note that this patch doesn\u0027t\nremove all warnings but most of the remaining ones are from upstream anyway.\n\nChange-Id: I8808d8495e99866e156ce5780d2e3c305eab491f\n
18,mm: add a might_sleep_if in dma_pool_alloc\n\nBuggy drivers (e.g. fsl_udc) could call dma_pool_alloc from atomic\ncontext with GFP_KERNEL. In most instances the first pool_alloc_page\ncall would succeed and the sleeping functions would never be called.\nThis allowed the buggy drivers to slip through the cracks.\n\nAdd a might_sleep_if checking for __GFP_WAIT in flags.\n\nChange-Id: Idd1b36e6c89615a0a39cca639d2a851081090ec1\nSigned-off-by: Dima Zavin \u003cdima@android.com\u003e\n
19,Add polling mechanism to Battery service\n\nVirtualBox ACPI implementation doesn\u0027t send ACPI events on battery\nlevel changes and on charger plug/unplug.\nThat\u0027s why I propose to implement a polling mechanism which checks\nbattery informations every x seconds.\nThis patch uses 2 system properties (status.battery.polling and\nstatus.battery.polling_freq) to enable polling and set polling freq.\nI\u0027m not sure I chose the right properties name - please let me know.\n\nChange-Id: Ieec20f7f0b76122836d67343521c0759e4497dd9\nSigned-off-by: Daniel Fages \u003cdaniel@fages.com\u003e\n
20,External BT GPS support for ICS.\n\nAllows user to change internal gps to external GPS.\nImplements request http://code.google.com/p/android/issues/detail?id\u003d9057\nsee http://iloki.nl for more information\n\nSigned-off-by: Cuong \u003ccuongbui@gmail.com\u003e\n
21,Fixed error in ApkBuilderTask for jar files with resources\n\njar files specified with \u003cjarfolder\u003e are searched twice\nfor resources. The build fails when resources are found\nthe second time.\n\nChange-Id: I4ce9028df7116587396aa67e0853eab34ba854fe\n
22,video: tegra: allow setting output mode without changing fb geometry\n\nChange-Id: I0a723b4e68c99d2727e12d2c26f1506b1f634f8a\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
23,[ARM] twd: Fix updating control register in set_mode\n\nChange-Id: I5096cc3fedf51024c332adbb846689e01e1f7ce0\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
24,Fixes the size of texts in the power dialog\n\nChange-Id: Ida2ba2e1a74e8ae1eca00313aaff5e9e545d2b93\n
25,video: tegra: transmute HDMI modes into supported ones\n\nChange-Id: I37222e9d1617a0ace062e05740365cfe5c0c2af8\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
26,video: tegra: flesh out edid support\n\n* read blocks in a single command instead of byte at a time\n* allow reading past segment 0 (edid \u003e 256 bytes)\n* handle mutiple extention blocks\n* add debugfs file for reading edid\n\nChange-Id: Iec8182cdbccdaa2142e4bbc892202d2e8d73c23b\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
27,Make dexZipExtractEntryToFile do CRC checking after extracting the entry to cached file.\n\nIf crc mismatch happens extract and check data again.\n\nChange-Id: I6ad68811b8213eae7efbcbce93ae09b9bea54302\n
28,ADT: Exclude \u003cinclude\u003e tag from the GLE palette.\n\nChange-Id: Ia318556bc88a823fb6eae9048634c824524f3b90\n
29,Eclair CTS Version Increment to 2.1_r5\n\nBug 3008740\n\nChange-Id: I1381fcd41f55c2b2cd0f4bdea5c41a66b1137ca0\n
30,Fix dependent vm-test jar path.\n\nPush file to /data/local/tmp/*.jar not /data/local/tmp*.jar\n\nBug 3130080\n\nChange-Id: I0ea4ab648eea4eb9bc8b35dfdab2986a823a31f4\n
31,DO NOT MERGE Froyo CTS Version Increment to 2.2_r3\n\nBug 3008740\n\nChange-Id: I5d739a50785df2543bc8d5ace472d52413bc3a75\n
32,Allow OS X emulator to open host /dev/ devices.\n\nOnly Win32 does not allow this so simplify the tests in the source code\n+ Remove compiler warning\n\nChange-Id: I100dd59e4477edcd24dd94becfa3e3b83a2b92ab\n
33,[ARM] twd: Fix prescaler getting cleared by set_mode\n\nChange-Id: I98d4b02feeb9784591504c59a82058a58bbd038e\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
34,video: tegra: add IOCTL for querying modes\n\nChange-Id: Ic312271b96a8bb8d8b2696448d3ff7fd73a7a851\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
35,ADT: fixes to make Proguard work under Windows.\n\n- the proguard.bat can only pass 9 args but we have 15+ so\n  we\u0027ll use a temporary proguard config file for Windows.\n\n- PROGUARD_HOME needs to be defined properly since the default\n  proguard.bat cannot infer it properly. We need other fixes\n  to that batch file so eventually we\u0027re not going to ship the\n  default one and we can fix the .bat file but properly defining\n  this env var is probably a good idea anyway.\n\nChange-Id: Id007d5504a5e05d1c4b5a0728e96e0d677978ef4\n
36,SDK: Fixed proguard.bat \u0026 co.\n\nThese are similar to the external/proguard/bin/*.bat\nexcept they use $SDK/tools/lib/find_java.bat to locate the\njava location and use it if available. find_java will print\na proeminent error if java cannot be found.\n\nChange-Id: I1fceae838436053031f405de9b3f1ab2d64222e6\n
37,tegra: i2c: recover from spurious interrupt storm\n\nRe-init the I2C controller when an IRQ arrives with no\nI2C_INT_STATUS bits set to indicate why the interrupt was sent.\nStorms of such mystery interrupts are infrequently seen.\n\nDump some more status when these interrupts arrive.  Set an error\nfor the current request and wake up the requester (rather than\ntiming out the request or possibly silently ignoring the interrupts).\n\nIf the I2C block is inside the DVC also ACK the DVC I2C transfer\ndone interrupt in the ISR error return path as is done for the\nnormal return path.\n\nChange-Id: I625b5c245aa8d83dbd7ff076b0fb5cc5682fffa1\nSigned-off-by: Todd Poynor \u003ctoddpoynor@google.com\u003e\n
38,Media Player fix for pause after system suspend/resume\n\nDescription: During system wide suspend/resume call the state machine for\nstagefright player \u0026 awesome player are reset and the flags are updated\naccordingly. But the state variables inside Media player class are left\nat the play/paused state depending on the current state while suspend call\nis issued.\nbecause of this mismatch in the states between media player and the awesome\nplayer the subsequent calls to isPlaying() query inside media player is\nsetting the state to Paused as a error correction mechanism. since the\nmedia player state is incorrectly set as paused even though it was in started\nstate during suspend all the subsequent calls to pause will return without\nany action.\n\nInorder to correct this the suspend state is introduced in the media player.\nThe current state is saved during suspend and is properly restored on resume\ncall.\n\nValidation: Tested AV playback pause/resume several times along with multiple\nsystem wide suspend/resume transitions.\n\nChange-Id: If7d40260c05899fac551edabaa8051bac1d0d020\nSigned-off-by: Sunita Nadampalli \u003csunitan@ti.com\u003e\n
39,ARM: tegra: powergate the mpe and 3d cores at boot\n\nChange-Id: I6ca09db039cd80eab18d062a7a4b5d2a93bd385e\nSigned-off-by: Dima Zavin \u003cdima@android.com\u003e\n
40,"Support showing \Cold\"" battery health.\n\nThe Linux kernel supports reporting \""cold\"" battery health to sysfs.\nAndroid framework has not implemented this and it defaults to \""unknown\""\nThis adds handling the cold battery health.\n\nChange-Id: Idfc7029fabcdfdaaf2b5c95977c11e0eb3fd76a7\n"""
41,audio_track_cblk_t::stepServer changed to call cv.broadcast instead of cv.signal which will correctly signal all pending threads that new audio data is available\n\nChange-Id: Ia3f12faf7d3ec68f7b984372c9b2aaabcee9ae92\n
42,add Ethernet settings to Android\n\nChange-Id: I9ead78f4d4b43b6be1a4fcf304692ffea197a65d\n
43,Remove duplicate rules for generated source file.\n\nChange-Id: I68075edc871af6510edbb027ac7de29ddbc85842\n
44,setVibrateSetting for notifications in SoundSettings.\n\nSome applications on the market change ringer and notification vibration settings independently. If a user removes this application changing vibration settings only fixes their ringer setting. This patch keeps notification and ringer vibrate settings in sync. Otherwise there is no way to fix notification vibration settings -- users expect vibration settings to carry over. Fixes issue 4964.\n\nChange-Id: I706eccdc1f5a6ad908458313c53f0548be80cd82\n
45,"Support showing \Cold\"" battery health.\n\nThe Linux kernel supports reporting \""cold\"" battery health to sysfs.\nAndroid framework has not implemented this and it defaults to \""unknown\""\nThis adds handling the cold battery health.\n\nChange-Id: Idcc156aae6aabce73391081143f79d052edf332e\n"""
46,Fix Makefile by adding mandatory user tags.\n\nThe build system now requires a LOCAL_MODULE_TAGS definition in each Android.mk\n\nChange-Id: I080a721224dcf6cb24fa2a803a52dcfe7f626cd6\n
47,Phone: Support for MultiSim.\n\nChange-Id: I9e00be4fc4092f11494fad70bcbf293944f2aef4\n
48,Put the Traceview plugin UI in an editor instead of a view.\n\nThe editor is associated with the .atv extension (Android TraceView).\n\nChange-Id: I5133932804a0c24a52ba53617942c2ca65b9345b\n
49,ARM: tegra: Remove debugging from tegra_move_framebuffer\n\nChange-Id: I012b3b565faefe60e7ce581f748905d3baab6da4\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
50,There is no @note javadoc tag.\n\nChange-Id: I4bb4e0be518b01f2a81d870ff4ec9da81555afbd\n
51,goldfish_fb: Add missing semicolon\n\nChange-Id: Ie8003b800ccc2b095dd8a18f6087932c3b4bfd08\n
52,[ARM] tegra: cpuidle define power_specified\n\nTurn on the cpuidle_device power_specified field\nto enable usage of the defined cpuidle_state.power_usage fields\nfor each state.\n\nSigned-off-by: James Wylder \u003cjames.wylder@motorola.com\u003e\n\nChange-Id: Ibca20a937bf4079f61e4b3ae64394d797b4eb287\nSigned-off-by: Todd Poynor \u003ctoddpoynor@google.com\u003e\n
53,tegrafb: add forward-decls for structs used in function prototypes\n\nChange-Id: Ief5f09f9340362197b01adeef28fbd42cd0a7a06\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
54,Improvements to RenderScript support:\n\n- change dependency file location to be in the gen folder\n  in the same package as the source file. This prevents collisions\n  if there are two classes named the same in different packages\n  or source folders.\n\n- Now that the dependency files are visible track their deletion\n  and force recompilation if this happens\n\n- Missing dependency files during generator initialization force\n  a recompilation of the source file.\n\n- Prevent packaging from taking .rs .rsh and .d files from the\n  source folders. This also impacts the Ant build system.\n\nChange-Id: Iede9193f67370e1784bd8ba661198bbf99238074\n
55,More CTS Test Runner Fixes\n\nChanging the initial status of tests now to fail and\nmaking InstrumentationCtsTestRunner explicitly report\nwhen it has omitted a test due to profile or feature\nrequirements only.\n\nMore background on why:\n\nInitially the starting test status was set to PASS.\nThis seemed like a bug because tests that did not\nget a result back from the test runner would automatically\npass.\n\nI noticed this when adding the profile/feature annotations\nso I changed the test status to NOT_EXECUTED. However\nI discovered that batch test runner would rerun any tests\nthat were not executed so any tests that were discarded\nby the annotations would be rerun infinitely..\n\nSo then...I changed the test status to start off as OMITTED\nso that discarded tests which don\u0027t produce any output would\nget flagged as OMITTED and not cause infinite retrying.\n\nHowever this uncovered a whole class of tests that were\nbeing omitted due to test errors (previously marked PASS even\nthough they were failing). This is because the tests would\nfail to execute as a batch and then CTS as part of its algorithm\nwould run them individually again. However due to an error\nof being unable to load the test class they would be marked\nas PASS (before the OMITTED change) because there would be\noutput from the runner...\n\nBy setting the default status to FAIL there won\u0027t be any tests\nthat get away as PASS due to getting no output from the runner.\nUnfortunately this means any tests that aren\u0027t executed or\nthrown out by annotations will be flagged. There seems to be\na couple of tests marked with @Suppress that will need to be\nchanged to @BrokenTest. There is probably a more involved fix\nto fix these things but its probably not worth it at this time.\n\nThe default status also cannot be ERROR because CTS sees both\nerrors and failures as the same.\n\nChange-Id: If1d561ee0e8c4919287469238d29c72c1ba0475c\n
56,tegrafb: fix section mismatch in host driver skeleton\n\nChange-Id: I2cf4646c8e362f591e8f1e5d6c0573fd7aee4365\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
57,Generate temporary hardware.ini from configuration settings.\n\nThis patch generates a temporary hardware.ini from the hardware\nconfiguration. The idea is to move as much hw config info as possible\nto a single file that the core can read.\n\nOther patches will change how various config info is passed to the\ncore from command-line options to the generated hardware.ini.\n
58,ARM: tegra: clock: Fix warning\n\nChange-Id: I2c175f65b7e7db234f7317e7c51aeea65d33d555\n
59,"Improve Froyo ARMEABI Test\n\nUnlike the Eclair port of the test there wasn\u0027t anything\nwrong with the Froyo version because the Build.CPU_ABI2\nreturns Build.UNKNOWN when the property is not set. However\nthe test couldn\u0027t make a distinction between the property\nnot being set and a property being set with the value \unknown.\""\n\nTherefore port the same enhancements done for the Eclair test\nand improve the messaging.\n\nChange-Id: Ie0edfc390065da0d6c75cc6490eb9d319ad8de91\n"""
60,fix scrolling bug upon pinch-zoom\n\nwhen the user is using two fingers to pinch-zoom a photo the screen\nwill keep scrolling to the upper-left direction even when the two\nfingers are stationary .\n\nChange-Id: I5db1af75ed9fd1e031bee92b1c0d8ac91fa6e0ff\nSigned-off-by: Madan Ankapura \u003cmankapur@sta.samsung.com\u003e\n
61,ARM: tegra: irq: Add debugfs file to show wake irqs\n\nChange-Id: I66124275869d5f83024937010e14018b7980bb05\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
62,[ARM] tegra: change SMP startup to use read-allocate cache\n\nmirror the change to v7 common startup in the tegra-specific\nLP2 and hotplug statup routines\n\nChange-Id: I2bfb4a1be799c4bcbeedae824cbd1d4d764298dd\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
63,calendar: Fix NPE from uninitialized HandlerThread\n\nCommit b9cd34a9b6622045cfac73d1497f4e5d745601d3 in AOSP master removed\nthe call to ContactsAsyncHelper\u0027s private constructor which initialized\nthe static HandlerThread. This causes an NPE when loading contact photos\nin appointments.\n\nReadded the static initializer to restore this functionality.\n\nChange-Id: Idc726d3fc500a30d0c9df795e5fa44d8436a8da2\n
64,ARM: tegra: timer: Remove 32k clocksource\n\nThe 32k clocksource is never used because it is always registered\nat the same time as the us clocksource which has a higher rating.\nUsing the 32k clocksource would cause a race condition with the\ntegra_rtc driver on the RTC shadow registers.  Remove the 32k\nclocksource add a replacement tegra_read_rtc_ms function for the\nsuspend code to track suspend time and add a comment on\nread_persistent_clock that it should never be called while the\ntegra_rtc driver is running.  It is currently only called from\ntimekeeping init suspend and resume.\n\nChange-Id: Ic964578e9923b0f0338959f75de1ac170f850337\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
65,[ARM] tegra: mirror inner-cacheable change in tegra startup\n\nChange-Id: Ia21166d4747852afb44ccbf902724fb8f06d6c65\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
66,Added build instructions for Nexus One on Froyo\n\nChange-Id: I7c2ee335691c127423510f1e128274a370733edb\n
67,ARM: tegra: timer: Fix us timer time after resume from LP1\n\nIn LP1 suspend or during a failed LP0 suspend the core power is\nnot turned off and the timer register is not reset.  Saving the\ntimer value during suspend and adding it to the offset after resume\nwill cause the timer value to double for each suspend cycle.\n\nTo fix when resuming subtract the current value of the timer\nregister from the offset.  Also use the rtc registers to add\nthe time that passed during suspend.\n\nChange-Id: I9f7ee2089b98cf66af45271f8478fbd9eb2ee250\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
68,"libstagefright: fix live RTSP streaming on some servers\n\n\u0027npt\u003d0-\u0027 is also a valid range to describe an \infinite\"" session and\nit\u0027s used by some popular RTSP servers in mobile environments (Envivio\u0027s\nfor example). Assuming that infinite is always \u0027now-\u0027 was causing session\nSETUPs to fail (and thus breaking the \""Mobile TV\""-type services).\n\nAlso drop RTP video packets that are out of sequence. Trying to\nreorder these was causing a *very* long time in starting the streams.\n\nChange-Id: Id5d5ccfae2e70d9b0a0dfb8f120bf1a9b6d61b5f\n"""
69,ARM: tegra: suspend: Track the amount of time spent in suspend\n\nChange-Id: Iee5ec7da45d3405846d8655104d9736eccedb713\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
70,"Fix Eclair ARMEABI Test\n\nThe ro.product.cpu.abi2 property for non-ARMEABI_V7 devices was\nincorrectly being checked for \unknown.\"" The value of \""unknown\""\ncomes from the Froyo version of this test which is what the\nBuild.CPU_ABI2 constant was if the property was not set. Fix the\nEclair version by using getprop to make sure the property is\nnot set at all.\n\nChange-Id: Ieaa22fbbc06b9349b4de0fcbb5fef55207c4728c\n"""
71,ARM: tegra: cpuidle: Keep statistics on idle wake interrupts\n\nChange-Id: Ieaee455b4e52f232c5b1285756c22bcdc7fdc6b4\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
72,Fix possible NPE in Traceview.\n\nChange-Id: I7834a4fee69ae103a5a39416aacea689e2010519\n
73,Make up better class names.\n\nJavaGenerator -\u003e SourceProcessor\nGeneratorDeltaVisitor -\u003e SourceChangeHandler\nNonJavaFileBundle -\u003e SourceFileData\n\nChange-Id: Idaacbef34007a1af730500d8009241683ee9e37b\n
74,x86: Fix oprofile compilation in pic mode.\n\nThis patch modifies the inline x86 assembly fragments to properly\nsave ebx when calling the cpuid instruction. Otherwise the compiler\nwill error complaining that the PIC register (ebx) is clobbered.\n\nChange-Id: Ibc091484068dfb87812c59dbc3976d26d922eebc\n
75,Frameworks/base (DSDS): Two ril instances for two rild\n\nChange-Id: Id415cd124340930f7b11126154b211379aa517a3\n
76,Contacts: Close cursor object after use\n\nIn callOrSmsContact function phonesCursor is never closed which\ncauses cursor leaks. Close the phonesCursor after its use.\n\nChange-Id: Ia578bc066652e654696f10b94ff5462f6ba436b9\n
77,net: wireless: bcm4329: Fix interrupt enabling in case of error\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
78,[ARM] tegra: ventana: register tps6586x interrupts\n\nconfigure the PMC interrupt polarity low and register IRQ\nnumbers with the TPS6586X core and RTC\n\nChange-Id: Iba08704bd1355ed00af3d9132118ce095c5118fe\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
79,Sniffer: Increase MPEG4 Confidence Level\n\nAdd logic to check if the video confidence level can be\nincreased. If the confidence level can\u0027t be increased the\nlevel will be left as it was found before the attempt.\nThis change is useful when competing sniffers assign conflicting\nvalues (specifically MP3 sniffer vs MPEG4 sniffer)\n\nChange-Id: Ie7a2bdb587508dd8e154adc17e1e2b950ad2d5e9\nSigned-off-by: Carlos Aceff \u003ccarlos.aceff@gmail.com\u003e\n
80,Add a runName parameter to ITestRunListener#testRunStarted.\n\nChange-Id: Ibaab85879f5432a24f8d44dc8d22aa6b0965a0c2\n
81,MediaScanner crashed on Japanese meta file\n\nMediaScanner crashed while scanning a file which has a Japanese\nfilename and has no metadata or too long metadata. In this case\nthe filename will be stored to DB as the title and some Japanese\nfilename causes a crash while creating search keys.\n\nWhen the data converted into the sorting key exceeds the size of\nthe buffer buffer over run is generated by a bug in\nICU4C(ucol#ucol_calcSortKey).\n\nIn ucol#ucol_calcSortKey the sorting key is set to the buffer\nwhile advancing the pointer by one byte. When sorting key is\ntwo-byte primary and compress data the pointer is advanced too\nmuch and a buffer over run is generated.\n\nChange-Id: I595325c89633c44b08673411321be315d574409e\n
82,3s Wait time introduced before sending first DTMF digit\n\nAdded fix to wait for 3 sec interval before sending\nthe first DTMF digit to RIL as per TS 22.101 A.20\n\nChange-Id: I711f0b72fafebad06dffc8369d12a7c2d4aec85d\n
83,"Use proguard for release builds through Ant.\n\nThis is only activated if default.properties contains\na property \proguard.config\"" with the name of a proguard\nconfig file.\n\nSome clean-up in the Ant tasks and in the name\nof the properties used by the rules and the custom\ntasks to make them clearer.\n\nAdded a new test app with a project using a jar file\nas well as a library using a jar file.\n\nChange-Id: Ia8f4d873025993d454c0a484e61d47ae679ea79c\n"""
84,Minor Changes to Enable SVG\n\nWith this patch set if ENABLE_SVG and ENABLE_SVG_ANIMATION are\ndefined to be true (e.g. ENABLE_SVG\u003dtrue ENABLE_SVG_ANIMATION\u003dtrue\nmmm -B external/webkit) while compiling WebKitthe resulting\nbrowser will handle SVG.  If you run the Acid3 test it will pass\nthe 6 SVG tests. That is the Acid3 test result will change from\n93/100 to 99/100.\n\nChange-Id: I5a836f94d5e3f771050349bafe09a27cee443aab\n
85,Show Failures at Top of Report\n\nDisplays a separate section for failures as well as timeouts at the\ntop of the report. This was faster in the browser than having a\npulldown that dynamically filtered the results by showing/hiding\ntable rows by their class.\n\nChange-Id: Ifb61edef60e0151f38d8a2a5fc252a5e14d7aef7\n
86,Stagefright: Added the API setCallback to return the overlay buffers after rendering\n\nAdded the API setCallback to the VideoRenderer Interface.\nThis callback may be used by the renderer modules to return the buffers after rendering.\n\nChange-Id: I0733dd8bed5a4d930375c62fd6840cdbed478b5a\nSigned-off-by: Anu Sundararajan \u003csanuradha@ti.com\u003e\n
87,regulator: tps6586x-regulator - fix value range checking for val\n\nval is used as array index of ri-\u003evoltages.\nThus the valid value range should be 0 .. ri-\u003edesc.n_voltages - 1.\n\nChange-Id: I9ac01b912d2857cc4f2375866a1101f170ff11e1\nSigned-off-by: Axel Lin \u003caxel.lin@gmail.com\u003e\nAcked-by: Mark Brown \u003cbroonie@opensource.wolfsonmicro.com\u003e\nSigned-off-by: Liam Girdwood \u003clrg@slimlogic.co.uk\u003e\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
88,libstagefrighthw: Added the setCallback API\n\nImplemented the setCallback API that was added to the\nVideoRenderer Interface in patch\nhttps://review.source.android.com/#change18582\n\nChange-Id: I4975a0b8fcc7eca5f88d2c2899dde7880d937edd\nSigned-off-by: Anu Sundararajan \u003csanuradha@ti.com\u003e\n
89,regulator: tps6586x-regulator - fix bit_mask parameter for tps6586x_set_bits()\n\nThe third parameter of tps6586x_set_bits() is the bit_mask\nthus we should use (1 \u003c\u003c ri-\u003ego_bit) instead of ri-\u003ego_bit.\n\nChange-Id: I861a55657fa7ba69eb7583e98399063d5b9c3f5e\nSigned-off-by: Axel Lin \u003caxel.lin@gmail.com\u003e\nAcked-by: Mark Brown \u003cbroonie@opensource.wolfsonmicro.com\u003e\nSigned-off-by: Liam Girdwood \u003clrg@slimlogic.co.uk\u003e\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
90,TabWidget orientation\n\nTabWidget orientation specified in tab_content.xml instead of TabWidget.java.\nGenerally the orientation of the TabWidget should be set in xml-files\nand not in TabWidget.java. A sub class of TabActivity may call setContentView()\nusing a custom layout where the TabWidget orientation is vertical.\nThis is the case in the UI Enablers Bottom Tab feature for landscape\ndisplay orientation.\n\nChange-Id: Ia677441a0af96a8d2ab47ef3298eb440c34924f6\n
91,"Managed Roaming support.\n\nIf the network registration is denied with reject cause \Persistent location\nupdate reject\"" in Manual Network Selection mode \""Managed Roaming\"" dialog is\ndisplayed. User can selection an operator from the available Networks list.\n\nChange-Id: I78fb07a662fe963dbb75a75ff09811399c7dcee0\n"""
