,Comment
22,video tegra allow set output mode without chang fb geometrynid erik gill 
23,arm twd fix updat control regist in setmodenid colin cross 
24,fix the size of text in the power dialognid 
25,video tegra transmut hdmi mode into support onesnid erik gill 
26,video tegra flesh out edid supportnn read block in a singl command instead of byte at a timen allow read past segment edid bytesn handl mutipl extent blocksn add debugf file for read edidnid erik gill 
27,make dexzipextractentrytofil do crc check after extract the entri to cach filennif crc mismatch happen extract and check data againnid 
28,adt exclud tag from the gle palettenid 
29,eclair ct version increment to 
30,fix depend vmtest jar pathnnpush file to datalocaltmpjar not datalocaltmpjarnnbug 
31,DO not merg froyo ct version increment to 
32,allow OS X emul to open host dev devicesnnonli doe not allow thi so simplifi the test in the sourc coden remov compil warningnid 
33,arm twd fix prescal get clear by setmodenid colin cross 
34,video tegra add ioctl for queri modesnid erik gill 
35,adt fix to make proguard work under windowsnn the proguardbat can onli pass arg but we have son use a temporari proguard config file for windowsnn proguardhom need to be defin properli sinc the defaultn proguardbat cannot infer it properli We need other fixesn to that batch file so eventu not go to ship then default one and we can fix the bat file but properli definingn thi env var is probabl a good idea anywaynid 
36,sdk fix proguardbat connthes are similar to the externalproguardbinbatnexcept they use $sdktoolslibfindjavabat to locat thenjava locat and use it if avail findjava will printna proemin error if java cannot be foundnid 
37,tegra recov from spuriou interrupt stormnnr the control when an irq arriv with bit set to indic whi the interrupt wa sentnstorm of such mysteri interrupt are infrequ seennndump some more statu when these interrupt arriv set an errornfor the current request and wake up the request rather thanntim out the request or possibl silent ignor the interruptsnnif the block is insid the dvc also ack the dvc transferndon interrupt in the isr error return path as is done for thennorm return pathnid todd poynor 
38,media player fix for paus after system suspendresumenndescript dure system wide suspendresum call the state machin fornstagefright player awesom player are reset and the flag are updatednaccordingli but the state variabl insid media player class are leftnat the playpaus state depend on the current state while suspend callni issuednbecaus of thi mismatch in the state between media player and the awesomenplay the subsequ call to isplay queri insid media player isnset the state to paus as a error correct mechan sinc thenmedia player state is incorrectli set as paus even though it wa in startednst dure suspend all the subsequ call to paus will return withoutnani actionnninord to correct thi the suspend state is introduc in the media playernth current state is save dure suspend and is properli restor on resumencallnnvalid test AV playback pauseresum sever time along with multiplensystem wide suspendresum transitionsnid sunita nadamp 
39,arm tegra powerg the mpe and core at bootnid dima zavin 
40,support show cold batteri healthnnth linux kernel support report cold batteri health to sysfsnandroid framework ha not implement thi and it default to unknownnthi add handl the cold batteri healthnid 
41,audiotrackcblktstepserv chang to call cvbroadcast instead of cvsignal which will correctli signal all pend thread that new audio data is availablenid 
42,add ethernet set to androidnid 
43,remov duplic rule for gener sourc filenid 
44,setvibrateset for notif in soundsettingsnnsom applic on the market chang ringer and notif vibrat set independ If a user remov thi applic chang vibrat set onli fix their ringer set thi patch keep notif and ringer vibrat set in sync otherwis there is no way to fix notif vibrat set user expect vibrat set to carri over fix issu 
45,support show cold batteri healthnnth linux kernel support report cold batteri health to sysfsnandroid framework ha not implement thi and it default to unknownnthi add handl the cold batteri healthnid 
46,fix makefil by ad mandatori user tagsnnth build system now requir a localmoduletag defion in each androidmknid 
47,phone support for multisimnid 
48,put the traceview plugin UI in an editor instead of a viewnnth editor is associ with the atv extens android traceviewnid 
49,arm tegra remov debug from tegramoveframebuffernid colin cross 
50,there is no note javadoc tagnid 
51,goldfishfb add miss semicolonnid 
52,arm tegra cpuidl defin powerspecifiednnturn on the cpuidledevic powerspecifi fieldnto enabl usag of the defin cpuidlestatepowerusag fieldsnfor each statennnedoffbi jame wylder todd poynor 
53,tegrafb add forwarddecl for struct use in function prototypesnid gari king 
54,improv to renderscript supportnn chang depend file locat to be in the gen foldern in the same packag as the sourc file thi prevent collisionsn if there are two class name the same in differ packagesn or sourc foldersnn now that the depend file are visibl track their deletionn and forc recompil if thi happensnn miss depend file dure gener ializ forcen a recompil of the sourc filenn prevent packag from take rs rsh and d file from then sourc folder thi also impact the ant build systemnid 
55,more ct test runner fixesnnchang the ial statu of test now to fail andnmak instrumentationctstestrunn explicitli reportnwhen it ha omit a test due to profil or featurenrequir onlynnmor background on whynniniti the start test statu wa set to passnthi seem like a bug becaus test that did notnget a result back from the test runner would automaticallynpassnni notic thi when ad the profilefeatur annotationsnso I chang the test statu to notexecut howeverni discov that batch test runner would rerun ani testsnthat were not execut so ani test that were discardednbi the annot would be rerun infelynnso theni chang the test statu to start off as omittednso that discard test which produc ani output wouldnget flag as omit and not caus inf retryingnnhowev thi uncov a whole class of test that werenb omit due to test error previous mark pass evennthough they were fail thi is becaus the test wouldnfail to execut as a batch and then ct as part of it algorithmnwould run them individu again howev due to an errornof be unabl to load the test class they would be markedna pass befor the omit chang becaus there would benoutput from the runnernnbi set the default statu to fail there be ani testsnthat get away as pass due to get no output from the runnernunfortun thi mean ani test that execut ornthrown out by annot will be flag there seem to bena coupl of test mark with suppress that will need to benchang to brokentest there is probabl a more involv fixnto fix these thing but it probabl not worth it at thi timennth default statu also cannot be error becaus ct see bothnerror and failur as the samenid 
56,tegrafb fix section mismatch in host driver skeletonnid gari king 
57,gener temporari hardwareini from configur settingsnnthi patch gener a temporari hardwareini from the hardwarenconfigur the idea is to move as much hw config info as possiblento a singl file that the core can readnnoth patch will chang how variou config info is pass to thencor from commandlin option to the gener hardwareinin 
58,arm tegra clock fix warningnid 
59,improv froyo armeabi testnnunlik the eclair port of the test there anythingnwrong with the froyo version becaus the buildunknown when the properti is not set howevernth test make a distinct between the propertynnot be set and a properti be set with the valu unknownnntherefor port the same enhanc done for the eclair testnand improv the messagingnid 
60,fix scroll bug upon pinchzoomnnwhen the user is use two finger to pinchzoom a photo the screennwil keep scroll to the upperleft direct even when the twonfing are stationari nid madan ankapura 
61,arm tegra irq add debugf file to show wake irqsnid colin cross 
62,arm tegra chang smp startup to use readalloc cachennmirror the chang to common startup in the and hotplug statup routinesnid gari king 
63,calendar fix npe from unial handlerthreadnncommit in aosp master removednth call to privat constructor which ializednth static handlerthread thi caus an npe when load contact photosnin appointmentsnnread the static ializ to restor thi functionalitynid 
64,arm tegra timer remov clocksourcennth clocksourc is never use becaus it is alway registerednat the same time as the us clocksourc which ha a higher ratingnus the clocksourc would caus a race condit with thentegrartc driver on the rtc shadow regist remov the add a replac tegrareadrtcm function for thensuspend code to track suspend time and add a comment onnreadpersistentclock that it should never be call while thentegrartc driver is run It is current onli call fromntimekeep suspend and resumenid colin cross 
65,arm tegra mirror innercach chang in tegra startupnid gari king 
66,ad build instruct for nexu one on froyonid 
67,arm tegra timer fix us timer time after resum from suspend or dure a fail suspend the core power isnnot turn off and the timer regist is not reset save thentim valu dure suspend and ad it to the offset after resumenwil caus the timer valu to doubl for each suspend cyclennto fix when resum subtract the current valu of the timernregist from the offset also use the rtc regist to addnth time that pass dure suspendnid colin cross 
68,libstagefright fix live rtsp stream on some is also a valid rang to describ an inf session use by some popular rtsp server in mobil environ exampl assum that inf is alway wa caus sessionnsetup to fail and thu break the mobil tvtype servicesnnalso drop rtp video packet that are out of sequenc tri tonreord these wa caus a veri long time in start the streamsnid 
69,arm tegra suspend track the amount of time spent in suspendnid colin cross 
70,fix eclair armeabi testnnth properti for devic wasnincorrectli be check for unknown the valu of unknownncom from the froyo version of thi test which is what constant wa if the properti wa not set fix theneclair version by use getprop to make sure the properti isnnot set at allnid 
71,arm tegra cpuidl keep statist on idl wake interruptsnid colin cross 
72,fix possibl npe in traceviewnid 
73,make up better class namesnnjavagener sourceprocessorngeneratordeltavisitor sourcechangehandlernnonjavafilebundl sourcefiledatanid 
74,fix oprofil compil in pic modennthi patch modifi the inlin assembl fragment to properlynsav ebx when call the cpuid instruct otherwis the compilernwil error complain that the pic regist ebx is clobberednid 
75,frameworksbas dsd two ril instanc for two rildnid 
76,contact close cursor object after usennin callorsmscontact function phonescursor is never close whichncaus cursor leak close the phonescursor after it usenid 
77,net wireless fix interrupt enabl in case of errornnnedoffbi dmitri shmidt 
78,arm tegra ventana regist interruptsnnconfigur the pmc interrupt polar low and regist irqnnumb with the core and rtcnid gari king 
79,sniffer increas confid levelnnadd logic to check if the video confid level can benincreas If the confid level be increas thenlevel will be left as it wa found befor the attemptnthi chang is use when compet sniffer assign conflictingnvalu specif sniffer vs sniffernid carlo aceff 
80,add a runnam paramet to itestrunlistenertestrunstartednid 
81,mediascann crash on japanes meta filennmediascann crash while scan a file which ha a japanesenfilenam and ha no metadata or too long metadata In thi casenth filenam will be store to DB as the titl and some japanesenfilenam caus a crash while creat search keysnnwhen the data convert into the sort key exce the size ofnth buffer buffer over run is gener by a bug ucolucolcalcsortkey the sort key is set to the buffernwhil advanc the pointer by one byte when sort key isntwobyt primari and compress data the pointer is advanc toonmuch and a buffer over run is generatednid 
82,wait time introduc befor send first dtmf digitnnad fix to wait for sec interv befor sendingnth first dtmf digit to ril as per TS 
83,use proguard for releas build through antnnthi is onli activ if defaultproperti containsna properti proguardconfig with the name of a proguardnconfig filennsom cleanup in the ant task and in the namenof the properti use by the rule and the customntask to make them clearernnad a new test app with a project use a jar filena well as a librari use a jar filenid 
84,minor chang to enabl svgnnwith thi patch set if enablesvg and enablesvganim arendefin to be true eg B externalwebkit while compil webkitth resultingnbrows will handl svg If you run the test it will passnth svg test that is the test result will chang to 
85,show failur at top of reportnndisplay a separ section for failur as well as timeout at thentop of the report thi wa faster in the browser than have anpulldown that dynam filter the result by showinghidingnt row by their classnid 
86,stagefright ad the api setcallback to return the overlay buffer after renderingnnad the api setcallback to the videorender interfacenthi callback may be use by the render modul to return the buffer after renderingnid anu sundararajan 
87,regul fix valu rang check for valnnval is use as array index of the valid valu rang should be axel lin mark brown liam girdwood gari king 
88,libstagefrighthw ad the setcallback apinnimpl the setcallback api that wa ad to thenvideorender interfac in anu sundararajan 
89,regul fix bitmask paramet for third paramet of is the bitmasknthu we should use instead of axel lin mark brown liam girdwood gari king 
90,tabwidget orientationnntabwidget orient specifi in tabcontentxml instead of tabwidgetjavangener the orient of the tabwidget should be set in xmlfilesnand not in tabwidgetjava A sub class of tabact may call setcontentviewnus a custom layout where the tabwidget orient is verticalnthi is the case in the UI enabl bottom tab featur for landscapendisplay orientationnid 
91,manag roam supportnnif the network registr is deni with reject caus persist locationnupd reject in manual network select mode manag roam dialog isndisplay user can select an oper from the avail network listnid 
92,arm tegra increas nrboardirq to interrupt patch use the exactninterrupt number increas nrboardirq tonaccommod the larger namespac need by the pmunid gari king 
93,stagefright remov memcpi in playback datapathnndur code review it wa found that the overlay buffer were not share with the video decod and hencenth decod output wa copi to the overlay buffer for render chang have been made to the frameworknto remov thi memcpi the overlay buffer are share with the video decodernnad the api getbuff to the follow classesnnbpomxrendererniomxrenderernomxrenderernvideorenderernsharedvideorenderernsoftwarerenderernawesomerenderernawesomeremoterenderernawesomelocalrenderernnad the api setbuff to the follow classesnnmediasourcenomxcodecn made to modifi the sequenc in which the variou compon were ializednnow the render is ializ befor the codec is the overlay buffer are share with the video decodern made to omxcodecnmodifi the compon quirk use omxusebufferoverlay buffer for video decod for output portnid anu sundararajan 
94,libstagefrighthw chang to remov memcpi in playback data pathnna new api ha been ad to share the overlay buffer address with the codecnfor that purpos memoryheapbas and memorybas object are creat for each buffernnthi patch is depend upon chang made to videorendererh in anu sundararajan 
95,minor optim of elf header manipulatingnnthi patch appli the follow changesn word align to the temporari space for hold elf headern instead of sequenti charact comparison of elf header usen precalcul valuenid 
96,fix broken imag link in instal the sdk document pagenid 
97,drmradeonkmsatom set sane default in atombiosgetencodermodenncommit upstreamnnif there wa no connector map to the encod atombiosgetencodermodenreturn which is the id for DP return someth sane instead base onnth encod id thi avoid hit the DP path on nondp encodersnnnedoffbi alex deucher dave airli greg kroahhartman 
98,need enough time sec to read amount of packet from procstatuiduidtcpsndnid 
99,support for setupeventlist proactiv commandnnthes chang provid support for setupeventlist proactiv commandnref etsi TS 
100,fix for phone app crash in icc cardnn check for activ phone in icc handler befor process messagesnn boundari check for gsmcdma subscript app indexnwhil retriev the icc card appnid 
101,arm tegra cpuidl prevent idl dure suspendnid colin cross 
102,bio take care not overflow page count when mappingcopi user datanncommit upstreamnnif the iovec is be set up in a way that caus uaddr pagesizento overflow we could end up attempt to map a huge number ofnpag check for thi invalid input typennreportedbi dan rosenberg jen axbo greg kroahhartman 
103,add support for tti in gsm modenid 
104,fix a race condit in nativedaemonconnectornnfix a race between the ondaemonconnect callback and set thenmoutputstream in nativedaemonconnectornnmountservic connect to vold use the nativedaemonconnectornthrow a “nativedaemonconnectorexcept No output stream�nwhen the ondaemonconnect callback in mountservic call the dolistcommandnid 
105,fix layout editor not properli close when dirtynnth symptom wa that onc the layout editor had a modificationnand wa in the dirti mode close it would keep the modelnaround and reopen would show the previou state that wasna red herringnnth actual issu is that the undo beginend wrapper methodsnwer call getmodelforedit without do a propernreleasefromedit call after the fact somewher down in thenoverli complex code that dispos the editorpart there isna test that would not purg the model if it is still lockednnth fix is thu in the beginendundorecord of the basenandroidxmleditornnthi CL also clean up some ifil usag when fix thencod abov I notic we can now get the model withoutnfirst get an sse intern document instead we can usenth ifil howev I doubt sse for would haventh api I need to check that in anoth CL later a 
106,drmradeonkm add workaround for ddc line vbio bugnncommit alex deucher dave airli greg kroahhartman 
107,fix broken imag link in tool traceview document pagenid 
108,need enough time sec to read amount of packet from procstatuiduidtcpsndnid 
109,drmradeonkm fix typo in disabl vbio codenncommit wa hit the wrong buscntl reg and bitsnnnedoffbi alex deucher dave airli greg kroahhartman 
110,adt fix to make proguard work under windowsnn the proguardbat can onli pass arg but we have son use a temporari proguard config file for windowsnn proguardhom need to be defin properli sinc the defaultn proguardbat cannot infer it properli We need other fixesn to that batch file so eventu not go to ship then default one and we can fix the bat file but properli definingn thi env var is probabl a good idea anywaynid 
111,featur for devic with a rel humid sensornid 
112,radixtre fix rcu bugnncommit upstreamnnsalman qazi describ the follow radixtre bugnnin the follow case we get can get a the radix tree contain two item one ha the index the reader in thi case findgetpag take the the reader acquir slot for item includ the index the nonzero index item is delet and as a consequ the other item isn move to the root of the tree the place where it use to be is queu forn delet after the reader the zero item is delet remov it from the direct slot it remain inn the rcudelay indirect the reader look at the index slot and find that the page ha refn the reader look at it again hope that the item will either be freed orn the ref count will increas thi never happen as the slot it is lookingn at will never be updat also thi slot can never be reclaim becausen the reader is hold rcureadlock and is in an inf loopnnth fix is to reus the same indirect pointer case that requir a slotnlookup retri into a gener retri the lookup bitnnnedoffbi nick piggin salman qazi andrew morton linu torvald greg kroahhartman 
113,dont store video genr metadata as audio genr in mediascannernnmediascann mistak videoid for auidoid when mediascannernregist genr of video content that thi content havengenr datannadd an explicit check for audionid 
114,netfilt nfhookcond ha wrong conditionalnncommit upstreamnnth nfhookcond return when it due to what I believ to be annerror in the code as the order of oper is not what wa intend C willnevalut befor which mean ret is get set to the bool resultnrath than the return valu of the function call the code saysnnif ret function it meant to saynif ret function the compil would warn but it notic it becaus itsna actual complex condit and so the wrong code is wrap in an explictnset of exactli what the compil want you to do if thi wa intentionalnfix thi mean that error when netfilt deni a packet get propagatednback up the stack rather than lostnnproblem introduc by commit netfilt get rid of the grossnessnin netfilterhnnnedoffbi eric pari patrick mchardi greg kroahhartman 
115,alway set right authtyp valu in apnnnit fix a bug that automat set authtyp valuenof edit apn that ha and should have that valu setnto null not yet set to authtyp valu of annapn previous display in the apn editor It isncaus by careless persist and read data fromnsharedprefer fix to keep and persist to benconsist with other prefer null valuenfor not yet set authtyp propertynid 
116,mmvf revalid in dogenericfilereadnncommit hour into some stress test of a enterpris kernel wenran into a null derefer in herenntint blockispartiallyuptodatestruct page page readdescriptort descnt unsign long inod inod look like wa the culprit xmon trace is belownaft closer examin I realiz that dogenericfileread doe anfindgetpag and eventu lock the page befor callingnblockispartiallyuptod howev it revalid after the page is lock So a small windownbetween the findgetpag and where the pagencould get truncat and clearednnw have a refer so it get reclaim but it certainlyncan be truncatednni think the correct thing is to check after thentrylockpag and jump out if it got truncat thi patch ha beennrun in the test environ for a month or so now and we have notnseen thi bug pop up againnnxmon infonn en cpu vector data access at pc lr sp msr dar dsisr current paca pid comm bashn rn ffffffffffffffffn pc lr msr cr ctr xer trap dar dsisr tn link regist unreliablen except system call at SP is in userspacen di ld beq ld clrldi li lwz li subf cmplw slw clrldi bgt cmpld add clrldi blt dave hansen minchan kim johann weiner rik van riel christoph hellwig Al viro minchan kim andrew morton linu torvald greg kroahhartman 
117,regul combin setvoltag request from all consumersnid colin cross 
118,ad support for custom of mobil data settingnnintroduc system properti mobiledata which will benus for default behavior of the mobil data connectionneith onoffnnthi is analog to how the set for dataroam isnhandelednid 
119,arm tegra add support for downsampl to iliyan malchev 
120,latencytop fix per task accumulatornncommit upstreamnnp task latencytop accumul prematur termin due to erroneousnplac of latencyrecordcount It should be increment whenev annew record is alloc instead of increment on everi latencytop eventnnalso fix search iter to onli search known record event instead ofnblindli search all prealloc spacennnedoffbi ken chen arjan van de ven andrew morton linu torvald greg kroahhartman 
121,devsystemimport add sysprocfsh fix locat of fenvhnid bruce bear 
122,devsystemimport bump the toolchain revis to for bruce bear 
123,devsystemimport add the option to specifi the toolchainprefixnid bruce bear 
124,chang imag document root in mediaplay referencenid 
125,fix possibl race conditionnnthat return statement is effect a read of asynchron modifiednfield the read and write is elsewher protect by lock on threadninst except thi one occur move statement intonsynchron block ensur that it read updat be afraid of deadlock wait releas the lock and acquir itnback when notifiednid 
126,make ct host captur junit error toonnbug 
127,packag proguard with the sdknid 
128,drmradeonkm fix thermal sensor report on upstreamnntemperatur is not shift as on newer asicsnnnedoffbi alex deucher dave airli greg kroahhartman 
129,fix extern jar support when build with proguardnid 
130,drmradeonkm fix retri ttmbo after it fail oncenncommit upstreamnnif ttmbo return failur it alreadi destroy the BO so we need tonretri from scratchnnnedoffbi michel dänzer marku trippelsdorf dave airli greg kroahhartman 
131,localprebuiltjavalibrari for proguardnid 
132,fix var path name generationnnth hashcod can be a neg intnconvert it to an alway posit long and convertnto hexadecimalnid 
133,sdk fix proguardbat connthes are similar to the externalproguardbinbatnexcept they use $sdktoolslibfindjavabat to locat thenjava locat and use it if avail findjava will printna proemin error if java cannot be foundnid 
134,support xbootclasspatha and pnnmodif versionnid 
135,ial commit for the ethernet state tracker workn 
136,prebuiltcommon updat the platform and api target for bruce bear 
137,keypress wake up modem if it is in power save modennwhen modem goe to sleep mode registr state isnsent and boolean variabl is set to keep track of modemnpow save statu thi variabl is access to checknpow statu when UI key is pressednndependenciesframeworkspoliciesbas packagesappsphoneid 
138,alway add a delay to make sdvo TV detect reliablenncommit upstreamnncommit intend to add a delay to give the add time tondetect ani tv connect howev it use the flag to do sonwhich is depend upon the previou detect result and not whether thenoutput support tvsnnnedoffbi chri wilson greg kroahhartman 
139,add ethernet support to androidnid 
140,packagereleas add the abi flagnid bruce bear 
141,keypress wake up modem in power save modennwhen key is press it check if modemni in power save modenif yesthen the actionscreenon intent is broadcastnndepend frameworksbas packagesappsphoneid 
142,exec copyandpast the fix into compatdoexecv pathsnncommit upstreamnnnot thi patch target and tri to be as simpl as possiblenthat is whi it add more copyandpast horror into fscompatc andnuglifi fsexecc thi will be cleanup laternncompatcopystr play with directli and thu hasntwo problem it lack the rlimitstack check and argvenvp memoryni not visibl to oom killernnexport acctargs and getargpag chang compatcopystringsnto use getargpag chang compatdoexecv to do doexecv doesnnadd the fatalsignalpendingcondresch check into compatcount andncompatcopystr thi match the code in fsexecc and certainlynmak sensennnedoffbi oleg nesterov kosaki motohiro linu torvald greg kroahhartman 
143,chang address some problem report innissu nmealisten doe not receiv nmea sentencesnnth nmea listen on emul report nmea messagesnad proper callback to the gpsqemucnid 
144,buildgcc tmplog be setnid bruce bear 
145,keypress wake up modem if in power save modennad function to read mmodem power save statusnndepend frameworksbas frameworkspoliciesbaseid 
146,intelgtt fix gtttotalentri detectionnncommit upstreamnnin commit chri wilson ad some code to clear the full gttnon instead of just the mappabl part the code look likenit wa copypast from agpintelgttc at least an ident piecenof code is still there in thi lead tona regress in which wa supposedli fix in commit thi commit make absolut no sens to me It seem to benslightli confus about chipset gener it refer doc gen but the regress concern gen luckili the the doc are avail with the gmch graphic control pci confignregist defion the other bigger problem is that the newncheck in there use the stolen mem bit or of stolennmem they are differ sinc the most like case is that it hit the fallback which wasnprob the right thing for the box thi wa test onnnso the origin approach by chri wilson seem to be wrong and thencurr code is defe wrong there is a third approach by jessenbarn from hi rfc patch who want a bigger gtt map rangenwher he simpli shove in the same claus like later ask him and jess confirm that thi should work So implementnitnnbugzilla $ntestedbi aniss astier aniss astier daniel vetter chri wilson greg kroahhartman 
147,buildgcc add the mpfrversion optionnid bruce bear 
148,arm tegra cpufreq fix compil issu with colin cross 
149,reprogram power monitor regist on resumenncommit upstreamnnfix issu where wa report valu severalnord of magnitud higher than physic possibl withoutnleav scorch mark on my thigh at leastnnnedoffbi kyle mcmartin jess barn chri wilson greg kroahhartman 
150,buildgcc add the finiarray configur flagnid bruce bear 
151,sdk window packag custom proguardbat scriptsnnrequir chang platformsdknid 
152,drmradeonkm fix regress in setupnncommit upstreamnntypo in my last alex deucher dave airli greg kroahhartman 
153,arm tegra clock remov depend between set and debugfsnid 
154,support xbootclasspatha and p for dvmprocessopt in dalvikvminitcnid 
155,devsystemimport platformroot wa be incorrectli specifiednid bruce bear 
156,drmradeonkm fix resum regress for some laptopsnncommit upstreamnni had remov thi when I switch the atom indirect io methodsnto use the io bar rather than the mmio bar but it appear needednnreportedbi mark lord alex deucher dave airli greg kroahhartman 
157,make vmtest push jar to a writabl directorynnwith thi chang jar are push to datalocaltmp as oppos to datannbug 
158,exec make argvenvp memori visibl to oomkillernncommit upstreamnnbrad spengler publish a local memoryalloc do thatnevad the oomkil though not the virtual memori can alloc a lot of memori butnthi is not visibl to oomkil nobodi can see the and take it into accountnnwith thi patch getargpag increment mmanonpagesncount everi time we alloc the new page for argvenvp whenndoexecv suc or fail we chang thi counter backnntechn thi is not correct we know if the newnpag is swap out and turn mmanonpag into mmswapent butni think thi realli matter and everyth becom correctnonc exec chang or failsnnreportedbi brad spengler kosaki motohiro oleg nesterov linu torvald greg kroahhartman 
159,close cursor to avoid excess jni referencesnn add fix to avoid cursor leak which caus excessiven jni global referencesnid 
160,support parti layout rule load and rip out groovi supportnnadd support for load parti jar provid addit layoutnrul thi can be configur by ad a properti referenc thenjar to be load as part of your buildproperti like will creat a class loader referenc chartrulesjar andngraphrulesjar as well as the visual plugin class loader asna fallback and thi class loader is use to load iviewrulenimplementationsnnin addit thi plugin rip out the variou remain groovi hooksnand refer that were earlier use to load groovi script as layoutnrul and remov groovi from the load path and build symlinkingnscriptsnid 
161,close cursor to avoid excess jni referencesnn add fix to avoid cursor leak which caus excessivenjni global referencesnid 
162,drmradeonkm fix interlac and doublescan handlingnncommit upstreamnnnedoffbi alex deucher dave airli greg kroahhartman 
163,drmradeonkm fix pad mask on upstreamnnthes got lost in the last cleanup alex deucher dave airli greg kroahhartman 
164,the mbionic flag is need for IA buildsnid bruce bear 
165,add the toolchainnid bruce bear 
166,rebuildallprebult add option for binutilsvers mpfrversion sysrootnid bruce bear 
167,prebuiltcommon allow version of gcc to be bruce bear 
168,getphonebookindex add letterlik symbol charact handlernnthi add handl of japanes letterlik symbolsnon contact app these symbol are appear in japanes hiraganansect and break it displaynid yutaro ogasawara 
169,retriev sipsipset label from string resourcesnid shuhrat dehkanov 
170,arm tegra cpuidl fix compil issu with colin cross 
171,enabl make proguard for the window sdknnthi requir chang from externalproguardgitnid 
172,arm tegra suspend fix compil issu with suspend paget creation to suspendcnalway compil need for resumenid colin cross 
